pageName,postText,postDate,postLink
newsth.18,"ลุยไม่ทิ้งการเรียน
‘ยูกิ เพ็ญผกา’ ในชุดนักศึกษา สอบเข้ามหาวิทยาลัยดัง
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T02:22:03.000Z,https://www.facebook.com/100063738901281/posts/1143055801162373
khobsanung,"ผู้สร้างอย่างคุณ Bryan Lee O'Malley ได้ยืนยันว่าแอนิเมชั่น Scott Pilgrim  ได้จบลงอย่างสมบูรณ์แล้ว และตัวซีรีส์จะไม่ได้มีการไฟเขียวให้ไปต่อในซีซั่น 2 แล้ว เรื่องราวจะจบลงเพียงเท่านี้ 
.",2024-11-21T07:13:26.000Z,https://www.facebook.com/100064520479802/posts/977890714371602
khobsanung,"ทำไมใจร้ายจัง  
.
วันนี้อุตสาห์อยากพาน้องไปดู Ghost Cat Anzu  ภูตเหมียวอันซุ หนึ่งในอนิเมะที่อยากไปดูมากๆ เพราะเป็นอนิเมะที่ได้เข้าฉายในเทศกาล  Cannes Film Festival ครั้งที่ 77  แต่ผลปรากฎว่า เราแทบหารอบของเรื่องนี้ในไทยไม่ได้เลยยยย ทั้งทีพึ่งเข้าฉายวันแรกเท่านั้น!! 
.
ซึ่งเท่าที่เช็ครอบในกรุงเทพจะมีอยู่ประมาณ 4 รอบได้ ส่วนตามต่างจังหวัดหาแทบไม่ได้เลย เห็นของเชียงใหม่มีแค่ 1 รอบเท่านั้นของ SF โดยใครที่หารอบได้ ก็แนะนำให้ไปดูกันนะครับ",2024-11-21T06:36:22.000Z,https://www.facebook.com/100064520479802/posts/977872427706764
khobsanung,"Ghost cat Anzu | ภูตเหมียวอันซุ 

เมื่อแมวภูติมาทำหน้าที่แทนคุณพ่อของหญิงสาวหนังยาว 1 ชม. 35 นาที เข้าฉายแล้ววันนี้",2024-11-21T05:58:10.000Z,https://www.facebook.com/100064520479802/posts/977856271041713
HKS2017,"[โหนกระแส วันที่ 21 พ.ย.67] ญาติเหยื่อเผย สาสมแล้ว!!! โทษประหารชีวิต ""แอม ไซยาไนด์"" ชีวิตแลกชีวิต #โหนกระแส #ช่อง3กด33",2024-11-21T11:00:32.000Z,https://www.facebook.com/100063145307143/posts/932831208831714
HKS2017,"“จ๊ะ นงผณี”  ตอบแล้ว หลังมีคนคอมเมนต์ “ชุดนอนควรใส่เฉพาะตอนอยู่บนที่นอน” หลังเจ้าตัวใส่ชุดนอนไปกินข้าวร้านริมทาง    บอกไม่เคยติดตามชีวิตกันเลย เพราะที่นอนคือบนรถ ยังบอกอีกว่า “หาวิธีที่อยู่บนที่นอนให้ฟังหน่อย เก่งเกิน ขอบคุณที่สอนหนูค่ะ”

#จ๊ะนงผณี #ดรามาชุดนอน #ชุดนอนควรใส่บนที่นอน #โหนกระแส",2024-11-21T10:30:05.000Z,https://www.facebook.com/100063145307143/posts/932817095499792
HKS2017,"ผู้ประสานงานคดีเหยื่อแอม  วอนหน่วยงานที่เกี่ยวข้องจับตาดูการซื้อขาย ไซยาไนด์ หลังพบมีข้อมูลซื้อขายในราคาหลักหมื่น

ติดตามรายละเอียดในคอมเมนต์

#แอม #ก้อย #ไซยาไนด์ #โหนกระแส",2024-11-21T10:00:12.000Z,https://www.facebook.com/100063145307143/posts/932803425501159
newsth.18,"‘น้องแอลลี่’ ค่าตัว 100ล้าน ปิดหนี้ 26ล้านให้พ่อ
ค่าตัว 100 ล้าน ปิดหนี้ 26 ล้านให้พ่อ
‘อ่ำ อัมรินทร์’ ปลื้ม ‘น้องแอลลี่’ ลูกสาวคนเก่ง ขึ้นแท่นผู้หญิงที่ใบหน้าสวยที่สุดในโลก
อ่านต่อใต้คอมเมนต์
.
อ่านต่อใต้คอมเมนต์👇",2024-11-20T00:48:24.000Z,https://www.facebook.com/100063738901281/posts/1143008661167087
newsth.18,"หลังจากใช้เวลานานแค่ไหนในการได้เห็นเขาอีกครั้งในฐานะคนที่เขาเคยเป็น: เวียร์กล่าวด้วยประโยคที่ส่งผลกระทบโดยตรงต่อครอบครัวของเขาเมื่อเขาเห็นเบลล่าอีกครั้ง
.
อ่านต่อใต้คอมเมนต์👇",2024-11-19T11:54:41.000Z,https://www.facebook.com/100063738901281/posts/1142575704543716
newsth.18,"นุ่น รมิดา แจงภาพ! หลุยส์ สก๊อต อุ้มทารกน้อยแห่ถามลูกใคร ถึงว่ากลับชัยภูมิมีแต่คนถาม!
.
อ่านต่อใต้คอมเมนต์👇",2024-11-19T10:04:18.000Z,https://www.facebook.com/100063738901281/posts/1142510864550200
